mean_abs_corr,amari_error,runtime_sec,success,error,dataset,seed,epsilon,geometry,method
0.07238799653498082,0.22374915615184557,0.02767181396484375,True,,Digits,0,0.1,dense,Proposed IRLS-l12
0.2510188729050785,0.42870060616957667,0.014251470565795898,True,,Digits,0,0.1,dense,FastICA-exp
0.2362830994571897,0.4468892760367746,0.007409334182739258,True,,Digits,0,0.1,dense,FastICA-deflation-cube
0.23618210614468613,0.4693999138094359,0.02714061737060547,True,,Digits,0,0.1,dense,Picard-nonorthogonal
0.24552488963128338,0.480440522392097,0.011312484741210938,True,,Digits,0,0.1,dense,JADE
0.24895385723349336,0.42058773225748547,0.0065457820892333984,True,,Digits,0,0.1,dense,SOBI
0.12173705075148115,0.10161755682658677,0.06468343734741211,True,,Digits,0,0.2,dense,Proposed IRLS-l12
0.21060822998481274,0.3822585843155007,0.006485939025878906,True,,Digits,0,0.2,dense,FastICA-exp
0.2325811593480021,0.3586896024512994,0.004076242446899414,True,,Digits,0,0.2,dense,FastICA-deflation-cube
0.2218159950718194,0.39922355712402524,0.02690744400024414,True,,Digits,0,0.2,dense,Picard-nonorthogonal
0.21173099158779712,0.43238076605219,0.010749340057373047,True,,Digits,0,0.2,dense,JADE
0.23184104500154296,0.31615887711086926,0.011156320571899414,True,,Digits,0,0.2,dense,SOBI
0.13772236349910671,0.28114611850720134,0.07251191139221191,True,,Digits,0,0.1,single-channel,Proposed IRLS-l12
0.27824473034516617,0.3361242488448857,0.012348175048828125,True,,Digits,0,0.1,single-channel,FastICA-exp
0.27647946049531014,0.33688075311472937,0.0037555694580078125,True,,Digits,0,0.1,single-channel,FastICA-deflation-cube
0.27819207214025593,0.3398588602527107,0.02405095100402832,True,,Digits,0,0.1,single-channel,Picard-nonorthogonal
0.2764501422939178,0.3346469356980653,0.003443479537963867,True,,Digits,0,0.1,single-channel,JADE
0.25998951868356135,0.44465984998857594,0.009089231491088867,True,,Digits,0,0.1,single-channel,SOBI
0.21928591037227246,0.27376568944282786,0.060013771057128906,True,,Digits,0,0.2,single-channel,Proposed IRLS-l12
0.2050319927408583,0.4287793545129809,0.003695249557495117,True,,Digits,0,0.2,single-channel,FastICA-exp
0.2195916269214951,0.3629215413815007,0.002882242202758789,True,,Digits,0,0.2,single-channel,FastICA-deflation-cube
0.2197569005107291,0.36970933944534246,0.009463787078857422,True,,Digits,0,0.2,single-channel,Picard-nonorthogonal
0.21976735731984914,0.369923416045309,0.0035750865936279297,True,,Digits,0,0.2,single-channel,JADE
0.20992102695330037,0.5216635337598239,0.010742902755737305,True,,Digits,0,0.2,single-channel,SOBI
0.7038427837991545,0.1890189502588428,0.04269766807556152,True,,Digits,0,0.1,coherent,Proposed IRLS-l12
0.6822281416561952,0.24960321713338168,0.00640106201171875,True,,Digits,0,0.1,coherent,FastICA-exp
0.7127434146386206,0.22525442001102566,0.004824638366699219,True,,Digits,0,0.1,coherent,FastICA-deflation-cube
0.718471652300013,0.2628221706587627,0.06484413146972656,True,,Digits,0,0.1,coherent,Picard-nonorthogonal
0.6956697658295435,0.2320861280597208,0.004421710968017578,True,,Digits,0,0.1,coherent,JADE
0.6740388092850657,0.406699343044928,0.012547969818115234,True,,Digits,0,0.1,coherent,SOBI
0.7484647383544089,0.2112699013419173,0.07091522216796875,True,,Digits,0,0.2,coherent,Proposed IRLS-l12
0.6628253107931702,0.2221750539669997,0.008093595504760742,True,,Digits,0,0.2,coherent,FastICA-exp
0.7456029002533159,0.1837086397173741,0.00412297248840332,True,,Digits,0,0.2,coherent,FastICA-deflation-cube
0.633467439169255,0.23522694176494738,0.02922201156616211,True,,Digits,0,0.2,coherent,Picard-nonorthogonal
0.7308256066247087,0.16674428214349346,0.004630088806152344,True,,Digits,0,0.2,coherent,JADE
0.5898800756573728,0.34332287450559995,0.007930755615234375,True,,Digits,0,0.2,coherent,SOBI
0.11412323917785865,0.10590348469981706,0.09218907356262207,True,,Digits,1,0.1,dense,Proposed IRLS-l12
0.2550277192373329,0.4235266116156241,0.013546466827392578,True,,Digits,1,0.1,dense,FastICA-exp
0.2694841507168032,0.439506912680424,0.0065135955810546875,True,,Digits,1,0.1,dense,FastICA-deflation-cube
0.2727118909938039,0.39418768405554266,0.01861262321472168,True,,Digits,1,0.1,dense,Picard-nonorthogonal
0.27354557070145813,0.47316325773439044,0.008946895599365234,True,,Digits,1,0.1,dense,JADE
0.2707812514111651,0.38080668811064394,0.031943559646606445,True,,Digits,1,0.1,dense,SOBI
0.18340458819287359,0.40259546191223416,0.04053187370300293,True,,Digits,1,0.2,dense,Proposed IRLS-l12
0.15540534256460953,0.3920940979729638,0.005124807357788086,True,,Digits,1,0.2,dense,FastICA-exp
0.15709081443312178,0.41650440048968174,0.004812717437744141,True,,Digits,1,0.2,dense,FastICA-deflation-cube
0.1517926894117081,0.3453268308300602,0.03086686134338379,True,,Digits,1,0.2,dense,Picard-nonorthogonal
0.1569653655039604,0.35264591240201437,0.005465507507324219,True,,Digits,1,0.2,dense,JADE
0.1501708947176047,0.4960456274307896,0.010967016220092773,True,,Digits,1,0.2,dense,SOBI
0.15726901140264027,0.14053639068057927,0.04012441635131836,True,,Digits,1,0.1,single-channel,Proposed IRLS-l12
0.35742944211816285,0.4256707332434533,0.004878997802734375,True,,Digits,1,0.1,single-channel,FastICA-exp
0.3379624020530017,0.43762518121089233,0.004332065582275391,True,,Digits,1,0.1,single-channel,FastICA-deflation-cube
0.35379361627931416,0.43739019670935664,0.016887664794921875,True,,Digits,1,0.1,single-channel,Picard-nonorthogonal
0.33914665267502314,0.4446360177302234,0.0044710636138916016,True,,Digits,1,0.1,single-channel,JADE
0.339390879915363,0.4718855640945529,0.009664535522460938,True,,Digits,1,0.1,single-channel,SOBI
0.2171055698897796,0.26981603845955304,0.07929635047912598,True,,Digits,1,0.2,single-channel,Proposed IRLS-l12
0.21150158286383722,0.40913962278005445,0.004806995391845703,True,,Digits,1,0.2,single-channel,FastICA-exp
0.21510193141906037,0.4096792753089124,0.00316619873046875,True,,Digits,1,0.2,single-channel,FastICA-deflation-cube
0.21139061852496138,0.411598869690193,0.019867420196533203,True,,Digits,1,0.2,single-channel,Picard-nonorthogonal
0.21230211732208287,0.40585429667919276,0.0036766529083251953,True,,Digits,1,0.2,single-channel,JADE
0.29023085834290413,0.36514398559365985,0.023255109786987305,True,,Digits,1,0.2,single-channel,SOBI
0.5306367945575948,0.2841228693289057,0.05909538269042969,True,,Digits,1,0.1,coherent,Proposed IRLS-l12
0.7508277134695028,0.2653502230401106,0.004036903381347656,True,,Digits,1,0.1,coherent,FastICA-exp
0.7839706837533893,0.23257302145474257,0.004502296447753906,True,,Digits,1,0.1,coherent,FastICA-deflation-cube
0.7159859673681516,0.29002493757726533,0.017134904861450195,True,,Digits,1,0.1,coherent,Picard-nonorthogonal
0.7136987895458795,0.2705945368800783,0.004938602447509766,True,,Digits,1,0.1,coherent,JADE
0.8009799873543741,0.2292145985551369,0.011154890060424805,True,,Digits,1,0.1,coherent,SOBI
0.35305368812746496,0.2514832079117072,0.06072735786437988,True,,Digits,1,0.2,coherent,Proposed IRLS-l12
0.694741210996279,0.21499577021415722,0.0037980079650878906,True,,Digits,1,0.2,coherent,FastICA-exp
0.7064731148253177,0.2184336363944269,0.0045964717864990234,True,,Digits,1,0.2,coherent,FastICA-deflation-cube
0.6627142873648073,0.23563271597203633,0.04277491569519043,True,,Digits,1,0.2,coherent,Picard-nonorthogonal
0.6853416602864156,0.22129472743536863,0.005746364593505859,True,,Digits,1,0.2,coherent,JADE
0.6595216205742638,0.34471420754042886,0.005262613296508789,True,,Digits,1,0.2,coherent,SOBI
,,0.04731941223144531,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,dense,Proposed IRLS-l12
,,0.006351470947265625,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,dense,FastICA-exp
,,0.005953311920166016,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,dense,FastICA-deflation-cube
,,0.02770543098449707,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,dense,Picard-nonorthogonal
,,0.005767822265625,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,dense,JADE
,,0.008822441101074219,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,dense,SOBI
,,0.04899263381958008,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,dense,Proposed IRLS-l12
,,0.014127254486083984,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,dense,FastICA-exp
,,0.0040721893310546875,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,dense,FastICA-deflation-cube
,,0.017252445220947266,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,dense,Picard-nonorthogonal
,,0.0061702728271484375,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,dense,JADE
,,0.006562948226928711,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,dense,SOBI
,,0.04119992256164551,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,single-channel,Proposed IRLS-l12
,,0.01544809341430664,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,single-channel,FastICA-exp
,,0.0035202503204345703,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,single-channel,FastICA-deflation-cube
,,0.018215656280517578,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,single-channel,Picard-nonorthogonal
,,0.003101825714111328,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,single-channel,JADE
,,0.009984970092773438,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,single-channel,SOBI
,,0.051430463790893555,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,single-channel,Proposed IRLS-l12
,,0.010930061340332031,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,single-channel,FastICA-exp
,,0.0029096603393554688,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,single-channel,FastICA-deflation-cube
,,0.013091802597045898,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,single-channel,Picard-nonorthogonal
,,0.003269195556640625,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,single-channel,JADE
,,0.008466243743896484,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,single-channel,SOBI
,,0.059552669525146484,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,coherent,Proposed IRLS-l12
,,0.0028395652770996094,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,coherent,FastICA-exp
,,0.002744913101196289,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,coherent,FastICA-deflation-cube
,,0.030898094177246094,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,coherent,Picard-nonorthogonal
,,0.003718137741088867,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,coherent,JADE
,,0.007988452911376953,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.1,coherent,SOBI
,,0.01943206787109375,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,coherent,Proposed IRLS-l12
,,0.002908468246459961,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,coherent,FastICA-exp
,,0.0037889480590820312,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,coherent,FastICA-deflation-cube
,,0.06269168853759766,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,coherent,Picard-nonorthogonal
,,0.004276275634765625,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,coherent,JADE
,,0.021860361099243164,False,ValueError:matrix contains invalid numeric entries,Digits,2,0.2,coherent,SOBI
0.06769084970443282,0.1293826524238975,0.059522390365600586,True,,Digits,3,0.1,dense,Proposed IRLS-l12
0.31669593709488464,0.4469405837523418,0.0055179595947265625,True,,Digits,3,0.1,dense,FastICA-exp
0.2981405553097584,0.33367700273978296,0.0040090084075927734,True,,Digits,3,0.1,dense,FastICA-deflation-cube
0.31627767911466254,0.29003824609744777,0.04110527038574219,True,,Digits,3,0.1,dense,Picard-nonorthogonal
0.32945235944233475,0.274070092759081,0.006011486053466797,True,,Digits,3,0.1,dense,JADE
0.3284846814014065,0.3646622557537447,0.015478849411010742,True,,Digits,3,0.1,dense,SOBI
0.20515922960646601,0.18293829262830347,0.09581422805786133,True,,Digits,3,0.2,dense,Proposed IRLS-l12
0.23808791707667631,0.3487498926807869,0.01606440544128418,True,,Digits,3,0.2,dense,FastICA-exp
0.24831001422970048,0.3347097973960253,0.00415349006652832,True,,Digits,3,0.2,dense,FastICA-deflation-cube
0.24666505612534712,0.33133853639519867,0.03034496307373047,True,,Digits,3,0.2,dense,Picard-nonorthogonal
0.24834118861741256,0.33038672274432,0.005434513092041016,True,,Digits,3,0.2,dense,JADE
0.21645437372438642,0.3208197357434142,0.007357597351074219,True,,Digits,3,0.2,dense,SOBI
0.16071083890977628,0.15725483009660962,0.060172080993652344,True,,Digits,3,0.1,single-channel,Proposed IRLS-l12
0.27306128589825623,0.4880899085227462,0.014436721801757812,True,,Digits,3,0.1,single-channel,FastICA-exp
0.2751165563698719,0.4893710524664863,0.00433659553527832,True,,Digits,3,0.1,single-channel,FastICA-deflation-cube
0.2696297919388737,0.4994548339746611,0.04005098342895508,True,,Digits,3,0.1,single-channel,Picard-nonorthogonal
0.2672236619797615,0.48888928488544786,0.0036377906799316406,True,,Digits,3,0.1,single-channel,JADE
0.34176389662600487,0.4463083364427513,0.012320280075073242,True,,Digits,3,0.1,single-channel,SOBI
0.2520461070908543,0.2862736006895993,0.08851265907287598,True,,Digits,3,0.2,single-channel,Proposed IRLS-l12
0.21346301616319135,0.47590071498975306,0.004896640777587891,True,,Digits,3,0.2,single-channel,FastICA-exp
0.22166419861930392,0.4691247878496812,0.002909421920776367,True,,Digits,3,0.2,single-channel,FastICA-deflation-cube
0.21464020046869137,0.4824746633142446,0.01999664306640625,True,,Digits,3,0.2,single-channel,Picard-nonorthogonal
0.2217286049158808,0.465462676996294,0.003736257553100586,True,,Digits,3,0.2,single-channel,JADE
0.23734194122227628,0.328110379432509,0.016419410705566406,True,,Digits,3,0.2,single-channel,SOBI
0.6245604814665568,0.23143609286332936,0.06331801414489746,True,,Digits,3,0.1,coherent,Proposed IRLS-l12
0.7223789525062794,0.21319641063138833,0.0033326148986816406,True,,Digits,3,0.1,coherent,FastICA-exp
0.6403831666925832,0.2848987121916114,0.004471540451049805,True,,Digits,3,0.1,coherent,FastICA-deflation-cube
0.7478757143000367,0.20397453099292479,0.03772926330566406,True,,Digits,3,0.1,coherent,Picard-nonorthogonal
0.6366370234213472,0.28378120338860996,0.005143880844116211,True,,Digits,3,0.1,coherent,JADE
0.596890232778615,0.4278954667441431,0.0067746639251708984,True,,Digits,3,0.1,coherent,SOBI
0.3557805486548682,0.3057847994391401,0.0851130485534668,True,,Digits,3,0.2,coherent,Proposed IRLS-l12
0.6953818355213801,0.2540950460511869,0.0041468143463134766,True,,Digits,3,0.2,coherent,FastICA-exp
0.5988773045681521,0.3445552281521117,0.003298044204711914,True,,Digits,3,0.2,coherent,FastICA-deflation-cube
0.7199214257836425,0.22481003377369063,0.06704521179199219,True,,Digits,3,0.2,coherent,Picard-nonorthogonal
0.6297621599361027,0.34698835199164135,0.0041255950927734375,True,,Digits,3,0.2,coherent,JADE
0.5255933314008656,0.5057163536181631,0.01126861572265625,True,,Digits,3,0.2,coherent,SOBI
