variant,mean_corr,std_corr,mean_amari,std_amari,runtime,success_rate
Full,0.27816672402995274,0.08551502279544435,0.27325194541483344,0.0894244090229873,1.706201810836792,0.92
No ICA rotation,0.3145604577694755,0.03726029981348644,0.38888748360858233,0.05758295541075403,1.2473643875122071,0.92
No robust initialization,0.2446560344794987,0.06453418100470351,0.30708669392259064,0.08643803647723336,1.8385959434509278,0.92
No source penalty,0.2792648575541115,0.08518926239376727,0.2716004727385714,0.08697653091671799,1.2876905632019042,0.92
Uniform weights,0.15757305514046677,0.06165391395610073,0.30426186602284055,0.0911073839627384,2.1036691856384278,0.92
